"en_name","cn_name","en_description","cn_description","indcode"
"School enrollment, primary, male (% gross)","","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","","SE.PRM.ENRR.MA"
"School enrollment, primary, female (% gross)","","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","","SE.PRM.ENRR.FE"
"Primary education, pupils (% female)","","Female pupils as a percentage of total pupils at primary level include enrollments in public and private schools.","","SE.PRM.ENRL.FE.ZS"
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed primary education.","","SE.PRM.CUAT.ZS"
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed primary education.","","SE.PRM.CUAT.MA.ZS"
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed primary education.","","SE.PRM.CUAT.FE.ZS"
"Primary completion rate, male (% of relevant age group)","","Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.","","SE.PRM.CMPT.MA.ZS"
"Primary completion rate, female (% of relevant age group)","","Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.","","SE.PRM.CMPT.FE.ZS"
"School enrollment, preprimary, male (% gross)","","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Preprimary education refers to programs at the initial stage of organized instruction, designed primarily to introduce very young children to a school-type environment and to provide a bridge between home and school.","","SE.PRE.ENRR.MA"
"School enrollment, preprimary, female (% gross)","","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Preprimary education refers to programs at the initial stage of organized instruction, designed primarily to introduce very young children to a school-type environment and to provide a bridge between home and school.","","SE.PRE.ENRR.FE"
"School enrollment, tertiary (gross), gender parity index (GPI)","","Gender parity index for gross enrollment ratio in tertiary education is the ratio of women to men enrolled at tertiary level in public and private schools.","","SE.ENR.TERT.FM.ZS"
"School enrollment, secondary (gross), gender parity index (GPI)","","Gender parity index for gross enrollment ratio in secondary education is the ratio of girls to boys enrolled at secondary level in public and private schools.","","SE.ENR.SECO.FM.ZS"
"School enrollment, primary and secondary (gross), gender parity index (GPI)","","Gender parity index for gross enrollment ratio in primary and secondary education is the ratio of girls to boys enrolled at primary and secondary levels in public and private schools.","","SE.ENR.PRSC.FM.ZS"
"School enrollment, primary (gross), gender parity index (GPI)","","Gender parity index for gross enrollment ratio in primary education is the ratio of girls to boys enrolled at primary level in public and private schools.","","SE.ENR.PRIM.FM.ZS"
"Literacy rate, adult male (% of males ages 15 and above)","","Adult literacy rate is the percentage of people ages 15 and above who can both read and write with understanding a short simple statement about their everyday life.","","SE.ADT.LITR.MA.ZS"
"Literacy rate, adult female (% of females ages 15 and above)","","Adult literacy rate is the percentage of people ages 15 and above who can both read and write with understanding a short simple statement about their everyday life.","","SE.ADT.LITR.FE.ZS"
"Literacy rate, youth male (% of males ages 15-24)","","Youth literacy rate is the percentage of people ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.","","SE.ADT.1524.LT.MA.ZS"
"Literacy rate, youth (ages 15-24), gender parity index (GPI)","","Gender parity index for youth literacy rate is the ratio of females to males ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.","","SE.ADT.1524.LT.FM.ZS"
"Literacy rate, youth female (% of females ages 15-24)","","Youth literacy rate is the percentage of people ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.","","SE.ADT.1524.LT.FE.ZS"
"Firms with female participation in ownership (% of firms)","","Firms with female participation in ownership are the percentage of firms with a woman among the principal owners.","","IC.FRM.FEMO.ZS"
"Firms with female top manager (% of firms)","","Firms with female top manager refers to the percentage of firms in the private sector who have females as top managers. Top manager refers to the highest ranking manager or CEO of the establishment. This person may be the owner if he/she works as the manager of the firm. The results are based on surveys of more than 100,000 private firms.","","IC.FRM.FEMM.ZS"
